c:\users\admin\documents\github\phpproject\ospanel\modules\database\MariaDB-10.3-x64\bin\mysqld.exe, Version: 10.3.13-MariaDB-log (mariadb.org binary distribution). started with:
TCP Port: 3306, Named Pipe: (null)
Time		    Id Command	Argument
		    14 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		    14 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		    14 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		    14 Quit	
190629 11:39:11	    15 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    15 Query	SET NAMES utf8mb4
		    15 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		    15 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		    15 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		    15 Quit	
190629 11:55:33	    16 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    16 Query	SET NAMES utf8mb4
		    16 Query	SELECT `questions`.*  FROM `questions` ORDER BY `id` DESC -- keep-cache
		    16 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '1' ) )   -- keep-cache
		    16 Query	SELECT `users`.*  FROM `users`  WHERE ( `id` IN ( '2' ) )   -- keep-cache
		    16 Quit	
190629 12:39:33	    17 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    17 Query	SET NAMES utf8mb4
		    17 Query	SELECT `users`.*  FROM `users`  WHERE `id` = '1' LIMIT 1   -- keep-cache
		    17 Query	SELECT `quest`.*  FROM `quest`  WHERE  users_id = '1'   -- keep-cache
		    17 Query	show tables
		    17 Query	DESCRIBE `question`
		    17 Query	INSERT INTO `question` ( id, `title`,`text`,`users_id` ) VALUES
			( NULL, '','','1' )
		    17 Quit	
190629 12:40:03	    18 Connect	root@WIN-R5EIFKQSONE as anonymous on mystackoverflow
		    18 Query	SET NAMES utf8mb4
		    18 Query	SELECT `users`.*  FROM `users`  WHERE `id` = '1' LIMIT 1   -- keep-cache
		    18 Query	SELECT `quest`.*  FROM `quest`  WHERE  users_id = '1'   -- keep-cache
		    18 Query	show tables
		    18 Query	DESCRIBE `question`
		    18 Query	INSERT INTO `question` ( id, `title`,`text`,`users_id` ) VALUES
			( NULL, '','','1' )
		    18 Quit	
190629 12:40:13	    19 Connect	root@localhost as anonymous on 
		    19 Query	SELECT @@version, @@version_comment
		    19 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    19 Query	SET lc_messages = 'ru_RU'
		    20 Connect	root@localhost as anonymous on 
		    19 Query	SELECT CURRENT_USER()
		    19 Query	SHOW GRANTS
		    19 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    20 Quit	
		    19 Quit	
		    21 Connect	root@localhost as anonymous on 
		    21 Query	SELECT @@version, @@version_comment
		    21 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    21 Query	SET lc_messages = 'ru_RU'
		    22 Connect	root@localhost as anonymous on 
		    21 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
190629 12:40:14	    21 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    21 Query	SELECT 1 FROM (SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`COLUMN_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`TABLE_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`SCHEMA_PRIVILEGES` UNION SELECT `GRANTEE`, `IS_GRANTABLE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES`) t WHERE `IS_GRANTABLE` = 'YES' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		    21 Query	SELECT 1 FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE `PRIVILEGE_TYPE` = 'CREATE USER' AND '''root''@''%''' LIKE `GRANTEE` LIMIT 1
		    21 Query	SELECT 1 FROM mysql.user LIMIT 1
		    21 Init DB	mysql
		    21 Query	SELECT USER()
		    21 Query	SELECT `CHARACTER_SET_NAME` AS `Charset`, `DESCRIPTION` AS `Description` FROM `information_schema`.`CHARACTER_SETS`
		    21 Query	SELECT `CHARACTER_SET_NAME` AS `Charset`, `COLLATION_NAME` AS `Collation`, `IS_DEFAULT` AS `Default` FROM `information_schema`.`COLLATIONS`
		    21 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`, (SELECT DB_first_level FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t ORDER BY DB_first_level ASC LIMIT 0, 100) t2 WHERE TRUE AND 1 = LOCATE(CONCAT(DB_first_level, '_'), CONCAT(SCHEMA_NAME, '_')) ORDER BY SCHEMA_NAME ASC
		    21 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    21 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    21 Query	SHOW MASTER LOGS
		    22 Quit	
		    21 Quit	
190629 12:40:15	    23 Connect	root@localhost as anonymous on 
		    23 Query	SELECT @@version, @@version_comment
		    23 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    23 Query	SET lc_messages = 'ru_RU'
		    24 Connect	root@localhost as anonymous on 
		    23 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    23 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    24 Quit	
		    23 Quit	
		    25 Connect	root@localhost as anonymous on 
		    25 Query	SELECT @@version, @@version_comment
		    25 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    25 Query	SET lc_messages = 'ru_RU'
		    26 Connect	root@localhost as anonymous on 
		    25 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    25 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    26 Quit	
		    25 Quit	
		    27 Connect	root@localhost as anonymous on 
		    27 Query	SELECT @@version, @@version_comment
		    27 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    27 Query	SET lc_messages = 'ru_RU'
		    28 Connect	root@localhost as anonymous on 
		    27 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    27 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    27 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`, (SELECT DB_first_level FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t ORDER BY DB_first_level ASC LIMIT 0, 100) t2 WHERE TRUE AND 1 = LOCATE(CONCAT(DB_first_level, '_'), CONCAT(SCHEMA_NAME, '_')) ORDER BY SCHEMA_NAME ASC
		    27 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    27 Query	SELECT COUNT(*) FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t
		    27 Quit	
		    28 Quit	
		    29 Connect	root@localhost as anonymous on 
		    29 Query	SELECT @@version, @@version_comment
		    29 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    29 Query	SET lc_messages = 'ru_RU'
		    30 Connect	root@localhost as anonymous on 
		    29 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    29 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    30 Quit	
		    29 Quit	
190629 12:40:16	    31 Connect	root@localhost as anonymous on 
		    31 Query	SELECT @@version, @@version_comment
		    31 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    31 Query	SET lc_messages = 'ru_RU'
		    32 Connect	root@localhost as anonymous on 
		    32 Query	SHOW TABLES FROM `mystackoverflow`
		    31 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    31 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    31 Init DB	mystackoverflow
		    31 Query	SHOW TABLES FROM `mystackoverflow`
		    31 Query	SELECT @@lower_case_table_names
		    31 Query	SELECT *,
                `TABLE_SCHEMA`       AS `Db`,
                `TABLE_NAME`         AS `Name`,
                `TABLE_TYPE`         AS `TABLE_TYPE`,
                `ENGINE`             AS `Engine`,
                `ENGINE`             AS `Type`,
                `VERSION`            AS `Version`,
                `ROW_FORMAT`         AS `Row_format`,
                `TABLE_ROWS`         AS `Rows`,
                `AVG_ROW_LENGTH`     AS `Avg_row_length`,
                `DATA_LENGTH`        AS `Data_length`,
                `MAX_DATA_LENGTH`    AS `Max_data_length`,
                `INDEX_LENGTH`       AS `Index_length`,
                `DATA_FREE`          AS `Data_free`,
                `AUTO_INCREMENT`     AS `Auto_increment`,
                `CREATE_TIME`        AS `Create_time`,
                `UPDATE_TIME`        AS `Update_time`,
                `CHECK_TIME`         AS `Check_time`,
                `TABLE_COLLATION`    AS `Collation`,
                `CHECKSUM`           AS `Checksum`,
                `CREATE_OPTIONS`     AS `Create_options`,
                `TABLE_COMMENT`      AS `Comment`
            FROM `information_schema`.`TABLES` t
            WHERE `TABLE_SCHEMA` 
                IN ('mystackoverflow')
                 ORDER BY Name ASC LIMIT 250 OFFSET 0
		    31 Query	SHOW MASTER STATUS
		    31 Query	SHOW SLAVE STATUS
		    31 Query	SELECT COUNT(*) FROM `mystackoverflow`.`question`
		    31 Query	SELECT COUNT(*) FROM `mystackoverflow`.`questions`
		    31 Query	SELECT COUNT(*) FROM `mystackoverflow`.`users`
		    31 Query	SELECT DEFAULT_COLLATION_NAME FROM information_schema.SCHEMATA WHERE SCHEMA_NAME = 'mystackoverflow' LIMIT 1
190629 12:40:17	    31 Query	SELECT @@storage_engine
		    31 Query	SHOW TABLES FROM `mystackoverflow`
		    31 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		    31 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    31 Query	SHOW TABLES FROM `mystackoverflow`
		    31 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		    31 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    32 Quit	
		    31 Quit	
		    33 Connect	root@localhost as anonymous on 
		    33 Query	SELECT @@version, @@version_comment
		    33 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    33 Query	SET lc_messages = 'ru_RU'
		    34 Connect	root@localhost as anonymous on 
		    33 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    33 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    33 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`, (SELECT DB_first_level FROM ( SELECT DISTINCT SUBSTRING_INDEX(SCHEMA_NAME, '_', 1) DB_first_level FROM INFORMATION_SCHEMA.SCHEMATA WHERE TRUE ) t ORDER BY DB_first_level ASC LIMIT 0, 100) t2 WHERE TRUE AND 1 = LOCATE(CONCAT(DB_first_level, '_'), CONCAT(SCHEMA_NAME, '_')) ORDER BY SCHEMA_NAME ASC
		    33 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`='BASE TABLE'
		    33 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`!='BASE TABLE'
		    33 Query	SELECT @@lower_case_table_names
		    33 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`ROUTINES` WHERE `ROUTINE_SCHEMA` ='mystackoverflow' AND `ROUTINE_TYPE`='FUNCTION'
		    33 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`ROUTINES` WHERE `ROUTINE_SCHEMA` ='mystackoverflow'AND `ROUTINE_TYPE`='PROCEDURE'
		    33 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`EVENTS` WHERE `EVENT_SCHEMA` ='mystackoverflow'
		    33 Query	SELECT `TABLE_NAME` AS `name` FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`='BASE TABLE' ORDER BY `TABLE_NAME` ASC LIMIT 0, 50
		    33 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`='BASE TABLE'
		    33 Query	SELECT COUNT(*) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`='mystackoverflow' AND `TABLE_TYPE`='BASE TABLE'
		    34 Quit	
		    33 Quit	
190629 12:40:18	    35 Connect	root@localhost as anonymous on 
		    35 Query	SELECT @@version, @@version_comment
		    35 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    35 Query	SET lc_messages = 'ru_RU'
		    36 Connect	root@localhost as anonymous on 
		    36 Query	SHOW TABLES FROM `mystackoverflow`
		    35 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    35 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    35 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		    35 Query	SELECT DATABASE()
		    35 Init DB	mystackoverflow
		    35 Query	SELECT * FROM `question` LIMIT 0, 50
		    35 Query	SELECT TABLE_NAME
            FROM information_schema.VIEWS
            WHERE TABLE_SCHEMA = 'mystackoverflow'
                AND TABLE_NAME = 'question'
		    35 Query	SELECT @@lower_case_table_names
		    35 Query	SELECT *,
                `TABLE_SCHEMA`       AS `Db`,
                `TABLE_NAME`         AS `Name`,
                `TABLE_TYPE`         AS `TABLE_TYPE`,
                `ENGINE`             AS `Engine`,
                `ENGINE`             AS `Type`,
                `VERSION`            AS `Version`,
                `ROW_FORMAT`         AS `Row_format`,
                `TABLE_ROWS`         AS `Rows`,
                `AVG_ROW_LENGTH`     AS `Avg_row_length`,
                `DATA_LENGTH`        AS `Data_length`,
                `MAX_DATA_LENGTH`    AS `Max_data_length`,
                `INDEX_LENGTH`       AS `Index_length`,
                `DATA_FREE`          AS `Data_free`,
                `AUTO_INCREMENT`     AS `Auto_increment`,
                `CREATE_TIME`        AS `Create_time`,
                `UPDATE_TIME`        AS `Update_time`,
                `CHECK_TIME`         AS `Check_time`,
                `TABLE_COLLATION`    AS `Collation`,
                `CHECKSUM`           AS `Checksum`,
                `CREATE_OPTIONS`     AS `Create_options`,
                `TABLE_COMMENT`      AS `Comment`
            FROM `information_schema`.`TABLES` t
            WHERE `TABLE_SCHEMA` 
                IN ('mystackoverflow')
                AND t.`TABLE_NAME`  = 'question' ORDER BY Name ASC
		    35 Query	SELECT COUNT(*) FROM `mystackoverflow`.`question`
		    35 Query	SHOW WARNINGS
		    35 Query	SELECT TABLE_NAME
            FROM information_schema.VIEWS
            WHERE TABLE_SCHEMA = 'mystackoverflow'
                AND TABLE_NAME = 'question'
                AND IS_UPDATABLE = 'YES'
		    35 Query	SHOW INDEXES FROM `mystackoverflow`.`question`
		    35 Query	SELECT @@have_profiling
		    35 Query	SHOW CREATE TABLE `mystackoverflow`.`question`
		    35 Query	SHOW FULL COLUMNS FROM `mystackoverflow`.`question`
		    35 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		    35 Query	SHOW  COLUMNS FROM `mystackoverflow`.`question`
		    35 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    35 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    36 Quit	
		    35 Quit	
		    37 Connect	root@localhost as anonymous on 
		    37 Query	SELECT @@version, @@version_comment
		    37 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    37 Query	SET lc_messages = 'ru_RU'
		    38 Connect	root@localhost as anonymous on 
		    37 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    37 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    37 Quit	
		    38 Quit	
190629 12:40:19	    39 Connect	root@localhost as anonymous on 
		    39 Query	SELECT @@version, @@version_comment
		    39 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    39 Query	SET lc_messages = 'ru_RU'
		    40 Connect	root@localhost as anonymous on 
		    40 Query	SHOW TABLES FROM `mystackoverflow`
		    39 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    39 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    39 Init DB	mystackoverflow
		    39 Query	SHOW TABLES FROM `mystackoverflow`
		    39 Query	SELECT @@lower_case_table_names
		    39 Query	SELECT *,
                `TABLE_SCHEMA`       AS `Db`,
                `TABLE_NAME`         AS `Name`,
                `TABLE_TYPE`         AS `TABLE_TYPE`,
                `ENGINE`             AS `Engine`,
                `ENGINE`             AS `Type`,
                `VERSION`            AS `Version`,
                `ROW_FORMAT`         AS `Row_format`,
                `TABLE_ROWS`         AS `Rows`,
                `AVG_ROW_LENGTH`     AS `Avg_row_length`,
                `DATA_LENGTH`        AS `Data_length`,
                `MAX_DATA_LENGTH`    AS `Max_data_length`,
                `INDEX_LENGTH`       AS `Index_length`,
                `DATA_FREE`          AS `Data_free`,
                `AUTO_INCREMENT`     AS `Auto_increment`,
                `CREATE_TIME`        AS `Create_time`,
                `UPDATE_TIME`        AS `Update_time`,
                `CHECK_TIME`         AS `Check_time`,
                `TABLE_COLLATION`    AS `Collation`,
                `CHECKSUM`           AS `Checksum`,
                `CREATE_OPTIONS`     AS `Create_options`,
                `TABLE_COMMENT`      AS `Comment`
            FROM `information_schema`.`TABLES` t
            WHERE `TABLE_SCHEMA` 
                IN ('mystackoverflow')
                 ORDER BY Name ASC LIMIT 250 OFFSET 0
		    39 Query	SHOW MASTER STATUS
		    39 Query	SHOW SLAVE STATUS
		    39 Query	SELECT COUNT(*) FROM `mystackoverflow`.`question`
		    39 Query	SELECT COUNT(*) FROM `mystackoverflow`.`questions`
		    39 Query	SELECT COUNT(*) FROM `mystackoverflow`.`users`
		    39 Query	SELECT DEFAULT_COLLATION_NAME FROM information_schema.SCHEMATA WHERE SCHEMA_NAME = 'mystackoverflow' LIMIT 1
		    39 Query	SELECT @@storage_engine
		    39 Query	SHOW TABLES FROM `mystackoverflow`
		    39 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		    39 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    39 Query	SHOW TABLES FROM `mystackoverflow`
		    39 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='EVENT'
		    39 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    40 Quit	
		    39 Quit	
190629 12:40:20	    41 Connect	root@localhost as anonymous on 
		    41 Query	SELECT @@version, @@version_comment
		    41 Query	SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
		    41 Query	SET lc_messages = 'ru_RU'
		    42 Connect	root@localhost as anonymous on 
		    42 Query	SHOW TABLES FROM `mystackoverflow`
		    41 Query	SELECT `SCHEMA_NAME` FROM `INFORMATION_SCHEMA`.`SCHEMATA`
		    41 Query	SET collation_connection = 'utf8mb4_unicode_ci'
		    41 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		    41 Query	SELECT DATABASE()
		    41 Init DB	mystackoverflow
		    41 Query	SELECT * FROM `questions` LIMIT 0, 50
		    41 Query	SELECT TABLE_NAME
            FROM information_schema.VIEWS
            WHERE TABLE_SCHEMA = 'mystackoverflow'
                AND TABLE_NAME = 'questions'
		    41 Query	SELECT @@lower_case_table_names
		    41 Query	SELECT *,
                `TABLE_SCHEMA`       AS `Db`,
                `TABLE_NAME`         AS `Name`,
                `TABLE_TYPE`         AS `TABLE_TYPE`,
                `ENGINE`             AS `Engine`,
                `ENGINE`             AS `Type`,
                `VERSION`            AS `Version`,
                `ROW_FORMAT`         AS `Row_format`,
                `TABLE_ROWS`         AS `Rows`,
                `AVG_ROW_LENGTH`     AS `Avg_row_length`,
                `DATA_LENGTH`        AS `Data_length`,
                `MAX_DATA_LENGTH`    AS `Max_data_length`,
                `INDEX_LENGTH`       AS `Index_length`,
                `DATA_FREE`          AS `Data_free`,
                `AUTO_INCREMENT`     AS `Auto_increment`,
                `CREATE_TIME`        AS `Create_time`,
                `UPDATE_TIME`        AS `Update_time`,
                `CHECK_TIME`         AS `Check_time`,
                `TABLE_COLLATION`    AS `Collation`,
                `CHECKSUM`           AS `Checksum`,
                `CREATE_OPTIONS`     AS `Create_options`,
                `TABLE_COMMENT`      AS `Comment`
            FROM `information_schema`.`TABLES` t
            WHERE `TABLE_SCHEMA` 
                IN ('mystackoverflow')
                AND t.`TABLE_NAME`  = 'questions' ORDER BY Name ASC
		    41 Query	SELECT COUNT(*) FROM `mystackoverflow`.`questions`
		    41 Query	SHOW WARNINGS
		    41 Query	SELECT TABLE_NAME
            FROM information_schema.VIEWS
            WHERE TABLE_SCHEMA = 'mystackoverflow'
                AND TABLE_NAME = 'questions'
                AND IS_UPDATABLE = 'YES'
		    41 Query	SHOW INDEXES FROM `mystackoverflow`.`questions`
		    41 Query	SHOW CREATE TABLE `mystackoverflow`.`questions`
		    41 Query	SELECT *,
                        `COLUMN_NAME`       AS `Field`,
                        `COLUMN_TYPE`       AS `Type`,
                        `COLLATION_NAME`    AS `Collation`,
                        `IS_NULLABLE`       AS `Null`,
                        `COLUMN_KEY`        AS `Key`,
                        `COLUMN_DEFAULT`    AS `Default`,
                        `EXTRA`             AS `Extra`,
                        `PRIVILEGES`        AS `Privileges`,
                        `COLUMN_COMMENT`    AS `Comment`
                   FROM `information_schema`.`COLUMNS`
 WHERE `TABLE_SCHEMA` = 'mystackoverflow'  AND `TABLE_NAME` = 'users'
		    41 Query	SHOW FULL COLUMNS FROM `mystackoverflow`.`questions`
		    41 Query	SELECT `login` FROM `mystackoverflow`.`users` WHERE `id` = 2
		    41 Query	SELECT `login` FROM `mystackoverflow`.`users` WHERE `id` = 1
		    41 Query	SHOW SESSION VARIABLES LIKE 'FOREIGN_KEY_CHECKS'
		    41 Query	SHOW  COLUMNS FROM `mystackoverflow`.`questions`
		    41 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
		    41 Query	SELECT `PRIVILEGE_TYPE` FROM `INFORMATION_SCHEMA`.`USER_PRIVILEGES` WHERE GRANTEE='''root''@''%''' AND PRIVILEGE_TYPE='TRIGGER'
